entry_date,exit_date,days_held,direction,entry_eu,exit_eu,entry_gb,exit_gb,beta,gross_pnl,cost,net_pnl,z_entry,z_exit
2021-08-06,2021-08-18,12,LONG_SPREAD,1.1835720539093018,1.1709738969802856,1.3927576541900635,1.3740416765213013,1.008290740153446,627.29900473155,25.12436110230169,602.1746436292483,-2.409665198518597,-0.4287687454716095
2021-10-06,2021-11-05,30,LONG_SPREAD,1.1596084833145142,1.1555349826812744,1.3627691268920898,1.3508602380752563,0.5399370921762957,235.6550165572138,18.099056382644434,217.55596017456935,-2.481211353245993,0.02707721832543877
2021-11-17,2021-11-29,12,LONG_SPREAD,1.1321182250976562,1.1293182373046875,1.3424620628356934,1.334098219871521,0.7447435957965264,342.8930690846454,21.171153936947896,321.7219151476975,-2.096259921528176,-0.3191475143566361
2022-01-05,2022-02-14,40,LONG_SPREAD,1.1283625364303589,1.1365057229995728,1.353143334388733,1.3569625616073608,0.7052417490543436,544.970808551275,20.578626235815154,524.3921823154599,-2.6183184841048672,0.20210473970171466
2022-02-25,2022-03-10,13,LONG_SPREAD,1.11906898021698,1.107382893562317,1.337327480316162,1.3185653686523438,0.24437451352738374,-710.1104744071022,13.665617702910756,-723.7760921100129,-2.1291161379747603,-0.09090657157584649
2022-03-30,2022-04-05,6,SHORT_SPREAD,1.1091516017913818,1.0975863933563232,1.3093804121017456,1.3114582300186157,0.8382812819660623,1330.7004302104529,22.574219229490936,1308.126210980962,2.590554421943124,-0.1402496904363356
2022-04-27,2022-05-02,5,SHORT_SPREAD,1.0643619298934937,1.0535964965820312,1.2583998441696167,1.2573871612548828,0.878088516228348,987.6208073453924,23.171327743425223,964.4494796019673,2.054547420755536,0.15976097731134
2022-05-06,2022-05-13,7,SHORT_SPREAD,1.0539740324020386,1.0379581451416016,1.2364147901535034,1.220613718032837,0.7733915350408558,379.54718377434733,21.600873025612838,357.9463107487345,2.2782667348999976,0.11557035013818082
2022-07-07,2022-07-20,13,LONG_SPREAD,1.0186411142349243,1.0231330394744873,1.1923214197158813,1.2003505229949951,0.45603923166156635,83.03391492245817,16.840588474923496,66.19332644753467,-2.7269424859964837,-0.2853759749918445
2022-07-28,2022-08-19,22,LONG_SPREAD,1.0209290981292725,1.0089900493621826,1.2163082361221313,1.193274736404419,0.8587330462907864,784.0578612239296,22.880995694361797,761.1768655295679,-2.2686717266606027,-0.3798987994305127
2022-09-01,2022-09-22,21,SHORT_SPREAD,1.003905177116394,0.983071506023407,1.1598505973815918,1.1255937814712524,0.9629583844360938,-1215.4217011957999,24.44437576654141,-1239.8660769623414,2.404641976381527,-0.08239455155191013
2022-10-14,2022-10-19,5,LONG_SPREAD,0.975134015083313,0.9863878488540649,1.1303905248641968,1.134429931640625,0.42220966486700984,954.8357189414664,16.333144973005147,938.5025739684613,-2.020567128702221,-0.15142863074287494
2022-11-09,2022-11-22,13,SHORT_SPREAD,1.008084774017334,1.0245691537857056,1.1552680730819702,1.1827600002288818,0.41528588467546457,-506.7370481732969,16.22928827013197,-522.9663364434289,2.089355071544915,0.46238121814083455
2022-12-16,2023-01-19,34,SHORT_SPREAD,1.064056158065796,1.0797853469848633,1.2189176082611084,1.2347661256790161,0.6943491803453401,-472.4783840254315,20.415237705180104,-492.89362173061164,2.1238998470757657,0.16122518604394082
2023-02-06,2023-02-22,16,SHORT_SPREAD,1.079086184501648,1.065200924873352,1.2045146226882935,1.2109322547912598,0.8986919026720523,1965.2733633559935,23.480378540080785,1941.7929848159126,2.229875144105184,-0.03559068303012286
2023-05-10,2023-06-22,43,LONG_SPREAD,1.096467137336731,1.0992635488510132,1.2624667882919312,1.2772045135498047,0.7500278857591635,-825.7293401780082,21.250418286387454,-846.9797584643957,-2.590741594698894,0.12853639389075627
2023-09-22,2023-10-05,13,SHORT_SPREAD,1.0661548376083374,1.0507071018218994,1.2294225692749023,1.2137395143508911,0.8388834980445552,229.1479811758561,22.583252470668327,206.56472870518778,2.126887111333475,0.3922053950880954
2023-10-20,2023-11-29,40,SHORT_SPREAD,1.0586491823196411,1.100594401359558,1.2137248516082764,1.2712295055389404,0.6925519686545581,-212.02577534365219,20.388279529818373,-232.41405487347055,2.017133385968903,0.4715502378800231
