date,pred_low,pred_high,actual_low,actual_high,profit,in_range
2023-06-09,1936.6249694824219,1975.4750061035156,1960.300048828125,1969.800048828125,-0.24056118069190055,True
2023-06-12,1957.925048828125,1972.175048828125,1951.4000244140625,1963.5,-0.7007531515391339,False
2023-06-13,1948.3750305175781,1966.5249938964844,1940.300048828125,1967.5,-0.878567254555467,False
2023-06-14,1933.5000610351562,1974.2999877929688,1940.300048828125,1958.199951171875,-0.17098717541977324,True
2023-06-15,1935.8250732421875,1962.6749267578125,1926.0,1958.800048828125,-0.3,False
2023-06-16,1917.7999877929688,1967.0000610351562,1953.5,1962.9000244140625,-0.20132351785082692,True
2023-06-20,1951.1499938964844,1965.2500305175781,1931.300048828125,1958.5999755859375,-2.6976091000294264,False
2023-06-21,1924.4750671386719,1965.4249572753906,1920.0,1936.800048828125,-0.2088871522752484,False
2023-06-22,1915.7999877929688,1941.0000610351562,1912.0999755859375,1921.0,-0.7822707812455589,False
2023-06-23,1909.8749694824219,1923.2250061035156,1918.699951171875,1932.5,-0.3,False
2023-06-26,1915.2499389648438,1935.9500122070312,1922.5,1928.5,-0.3,True
2023-06-27,1921.0,1930.0,1914.0,1929.4000244140625,-1.3906258114775383,False
2023-06-28,1910.1499938964844,1933.2500305175781,1912.300048828125,1912.300048828125,-0.3,True
2023-06-29,1912.300048828125,1912.300048828125,1892.5,1909.9000244140625,-0.3,False
2023-06-30,1888.1499938964844,1914.2500305175781,1900.5999755859375,1921.0999755859375,-0.3,False
2023-07-03,1895.4749755859375,1926.2249755859375,1917.9000244140625,1929.5,-0.28521386953178346,False
2023-07-05,1915.0000305175781,1932.3999938964844,1914.699951171875,1933.9000244140625,-0.3,False
2023-07-06,1909.8999328613281,1938.7000427246094,1903.199951171875,1910.199951171875,-0.487078163030508,False
2023-07-07,1901.449951171875,1911.949951171875,1913.4000244140625,1934.0999755859375,-0.3,False
2023-07-10,1908.2250366210938,1939.2749633789062,1912.300048828125,1926.0999755859375,-0.2746597901712397,True
2023-07-11,1908.8500671386719,1929.5499572753906,1924.199951171875,1937.0,-0.3,False
2023-07-12,1920.9999389648438,1940.2000122070312,1932.199951171875,1958.0,-0.3,False
2023-07-13,1925.7499389648438,1964.4500122070312,1953.0,1961.0999755859375,-0.24876108301177505,True
2023-07-14,1950.9750061035156,1963.1249694824219,1952.699951171875,1960.5999755859375,-0.3,True
2023-07-17,1950.7249450683594,1962.5749816894531,1946.5999755859375,1956.5,-0.3,False
2023-07-18,1944.1249694824219,1958.9750061035156,1963.4000244140625,1978.4000244140625,-0.3,False
2023-07-19,1959.6500244140625,1982.1500244140625,1973.0,1977.5,-0.3,True
2023-07-20,1971.875,1978.625,1965.5999755859375,1973.699951171875,-0.8429618284077964,False
2023-07-21,1963.5749816894531,1975.7249450683594,1961.800048828125,1964.300048828125,-0.3,False
2023-07-24,1961.175048828125,1964.925048828125,1960.300048828125,1965.5,-0.43372048265234175,False
2023-07-25,1959.0000610351562,1966.7999877929688,1953.0,1962.5,-0.3,False
2023-07-26,1950.625,1964.875,1966.199951171875,1972.0,-0.3,False
2023-07-27,1964.7499389648438,1973.4500122070312,1945.4000244140625,1945.4000244140625,-3.2480343493006294,False
2023-07-28,1945.4000244140625,1945.4000244140625,1944.199951171875,1962.199951171875,-0.3,False
2023-07-31,1939.699951171875,1966.699951171875,1950.0,1971.5999755859375,-0.3,False
2023-08-01,1944.6000061035156,1976.9999694824219,1940.699951171875,1965.4000244140625,-0.8477898571226516,False
2023-08-02,1934.5249328613281,1971.5750427246094,1933.199951171875,1953.5999755859375,-0.19779347406732556,False
2023-08-03,1928.0999450683594,1958.6999816894531,1928.0,1936.5,-0.2897659503392318,False
2023-08-04,1925.875,1938.625,1920.0,1945.0,-0.3,False
2023-08-07,1913.75,1951.25,1929.800048828125,1941.0,-0.234220209158716,True
2023-08-08,1927.0000610351562,1943.7999877929688,1923.0,1933.199951171875,-0.7495327187096751,False
2023-08-09,1920.4500122070312,1935.7499389648438,1913.699951171875,1928.800048828125,-1.0857457378112498,False
2023-08-10,1909.9249267578125,1932.5750732421875,1911.4000244140625,1927.800048828125,-0.3,True
2023-08-11,1907.3000183105469,1931.9000549316406,1911.800048828125,1916.5999755859375,-0.3,True
2023-08-14,1910.6000671386719,1917.7999572753906,1903.300048828125,1912.5999755859375,-0.30001434845895797,False
2023-08-15,1900.9750671386719,1914.9249572753906,1895.0,1907.699951171875,-0.3,False
2023-08-16,1891.8250122070312,1910.8749389648438,1890.300048828125,1904.5,-0.3,False
