test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
M01_baseline_6mo,24.8,50 000.00,-10 009.43,0.80,39 657.78 (49.79%),15 655.40 (28.20%),6432,12864,5893 (91.62%),539 (8.38%),39 080.08,-49 089.51,-0.64,-2.87,16 961.18,-32 811.02
M02_tight_6mo,26.3,50 000.00,-10 636.55,0.87,59 530.71 (60.20%),19 328.08 (33.00%),11544,23088,10295 (89.18%),1249 (10.82%),71 386.10,-82 022.65,-0.55,-2.90,34 338.71,-52 864.45
M03_wide_6mo,22.4,50 000.00,-10 045.78,0.70,31 672.67 (44.22%),12 690.05 (24.17%),1697,3394,1544 (90.98%),153 (9.02%),23 154.76,-33 200.54,-0.79,-3.07,11 062.18,-10 353.28
M05_few_wide_6mo,24.4,50 000.00,-10 267.47,0.85,62 511.51 (61.14%),17 652.44 (30.92%),6228,12456,5842 (93.80%),386 (6.20%),56 914.66,-67 182.13,-0.58,-1.69,31 042.61,-34 059.80
M06_low_reset_6mo,22.5,50 000.00,-10 159.21,0.83,48 137.02 (54.71%),15 170.78 (27.65%),6562,13124,5884 (89.67%),678 (10.33%),49 554.60,-59 713.81,-0.67,-2.97,26 461.25,-41 130.83
M07_high_reset_6mo,34.6,50 000.00,-10 303.25,0.88,83 771.22 (67.85%),24 521.71 (38.19%),14561,29122,13976 (95.98%),585 (4.02%),78 341.60,-88 644.85,-0.42,-1.01,34 555.44,-31 530.42
M09_smTP_bigSp_6mo,36.0,50 000.00,-10 481.52,0.92,123 161.83 (75.71%),27 482.03 (41.08%),15710,31420,15118 (96.23%),592 (3.77%),117 280.23,-127 761.75,-0.38,-0.89,73 992.34,-41 618.85
M10_mid_6mo,24.3,50 000.00,-10 230.88,0.85,63 946.75 (61.66%),20 913.62 (34.46%),6459,12918,6103 (94.49%),356 (5.51%),56 287.67,-66 518.55,-0.49,-2.33,30 731.24,-15 937.80
M13_sp3_6mo,22.3,50 000.00,-10 068.34,0.75,38 674.62 (49.20%),13 328.80 (25.03%),3489,6978,3268 (93.67%),221 (6.33%),30 533.74,-40 602.08,-0.76,-1.74,12 810.09,-19 917.22
M17_sp05_tp1_6mo,30.4,50 000.00,-11 009.93,0.89,81 677.04 (67.69%),19 699.72 (33.58%),11757,23514,10668 (90.74%),1089 (9.26%),88 734.17,-99 744.10,-0.56,-2.42,49 193.85,-65 373.89
M18_sp2_lvl3_6mo,24.3,50 000.00,-10 194.69,0.90,93 416.73 (70.12%),22 866.45 (36.55%),6916,13832,6457 (93.36%),459 (6.64%),87 726.86,-97 921.55,-0.45,-1.61,59 196.49,-38 199.05
M20_conserv_6mo,22.5,50 000.00,-10 071.62,0.80,47 421.44 (54.29%),14 209.34 (26.30%),3573,7146,3316 (92.81%),257 (7.19%),40 131.45,-50 203.07,-0.71,-2.54,21 148.56,-16 890.80
M21_sp4_lvl5_r1,18.5,50 000.00,-10 386.72,0.75,40 193.27 (50.36%),13 454.93 (25.38%),2417,4834,2220 (91.85%),197 (8.15%),31 679.89,-42 066.61,-0.77,-2.97,16 776.38,-12 645.87
M22_sp4_lvl10_r05,22.5,50 000.00,-10 239.08,0.68,30 988.50 (43.80%),13 560.74 (25.43%),2284,4568,2123 (92.95%),161 (7.05%),21 975.83,-32 214.91,-0.76,-2.46,8 679.16,-11 281.79
M23_sp6_lvl10_r1,24.5,50 000.00,-10 245.70,0.83,53 168.47 (57.22%),14 142.84 (26.28%),2394,4788,2196 (91.73%),198 (8.27%),50 021.00,-60 266.70,-0.72,-1.63,27 463.01,-20 648.05
M24_sp8_lvl10_r1,20.5,50 000.00,-10 101.20,0.86,67 506.59 (62.85%),15 146.63 (27.64%),1728,3456,1537 (88.95%),191 (11.05%),61 523.34,-71 624.54,-0.67,-2.10,41 113.08,-8 670.06
M25_sp10_lvl5_r2,20.4,50 000.00,4 187.98,1.17,13 541.70 (19.99%),53 141.48 (77.96%),1180,2360,1073 (90.93%),107 (9.07%),29 381.81,-25 193.83,0.08,0.05,6 664.28,-592.45
M26_sp2_lvl5_r1,18.3,50 000.00,-10 014.32,0.75,36 920.48 (48.01%),14 957.43 (27.23%),4826,9652,4565 (94.59%),261 (5.41%),29 406.84,-39 421.16,-0.67,-2.16,10 152.15,-15 583.08
M27_sp3_lvl5_r1,18.3,50 000.00,-10 216.71,0.77,42 923.41 (51.90%),16 958.24 (29.89%),3544,7088,3324 (93.79%),220 (6.21%),34 079.16,-44 295.87,-0.60,-2.73,16 572.24,-6 524.33
M28_sp5_lvl5_r2,16.4,50 000.00,-10 099.31,0.66,29 431.86 (42.45%),15 110.97 (27.50%),1786,3572,1658 (92.83%),128 (7.17%),19 868.89,-29 968.20,-0.67,-2.54,7 637.81,-4 947.76
V18_sp2_A05_C3,300.4,,,,,,,,,,,,,,,
V04_wide_A05,62.5,50 000.00,69.72,1.02,2 832.05 (5.35%),448.29 (0.89%),362,724,352 (97.24%),10 (2.76%),4 097.57,-4 027.85,0.16,0.64,1 100.17,-1 163.47
V18_sp2_A05_C3,300.2,,,,,,,,,,,,,,,
V01_baseline_A05,32.4,50 000.00,959.68,1.24,3 884.40 (7.29%),296.44 (0.58%),1177,2354,1157 (98.30%),20 (1.70%),4 955.94,-3 996.26,3.24,35.06,1 544.58,-2 492.44
V02_baseline_A10,28.6,50 000.00,-658.64,0.88,5 304.20 (9.71%),967.46 (1.92%),327,654,304 (92.97%),23 (7.03%),4 833.80,-5 492.44,-0.68,-5.00,3 931.98,-5 304.20
V03_baseline_A20,30.4,50 000.00,-1 416.45,0.87,10 318.54 (17.52%),2 002.33 (3.96%),485,970,444 (91.55%),41 (8.45%),9 152.75,-10 569.20,-0.71,-5.00,7 886.84,-10 318.54
V04_wide_A05,60.3,50 000.00,69.72,1.02,2 832.05 (5.35%),448.29 (0.89%),362,724,352 (97.24%),10 (2.76%),4 097.57,-4 027.85,0.16,0.64,1 100.17,-1 163.47
V10_sp3_A10,300.2,,,,,,,,,,,,,,,
V05_wide_A10,82.4,50 000.00,-1 017.00,0.89,5 920.56 (10.78%),1 814.94 (3.57%),782,1564,757 (96.80%),25 (3.20%),8 011.00,-9 028.00,-0.56,-4.54,2 938.50,-1 607.26
V19_sp3_A05_C5,300.2,,,,,,,,,,,,,,,
V06_wide_A20,96.3,50 000.00,-1 074.08,0.93,10 989.22 (18.34%),3 093.58 (5.95%),1304,2608,1258 (96.47%),46 (3.53%),15 066.60,-16 140.68,-0.35,-2.47,4 480.16,-7 145.67
V07_sp2_A05,42.2,50 000.00,-153.21,0.95,2 878.52 (5.46%),480.50 (0.95%),338,676,324 (95.86%),14 (4.14%),2 799.14,-2 952.35,-0.32,-5.00,1 695.74,-2 878.52
V08_sp2_A10,32.4,50 000.00,-379.70,0.93,5 244.70 (9.56%),933.00 (1.85%),540,1080,514 (95.19%),26 (4.81%),5 256.58,-5 636.28,-0.41,-5.00,3 378.65,-5 244.70
V09_sp3_A05,42.1,50 000.00,-280.25,0.90,2 803.55 (5.34%),511.90 (1.02%),202,404,190 (94.06%),12 (5.94%),2 570.19,-2 850.44,-0.55,-5.00,1 751.84,-1 625.65
V10_sp3_A10,34.6,50 000.00,-430.24,0.92,5 263.50 (9.60%),1 008.39 (1.99%),289,578,268 (92.73%),21 (7.27%),5 049.36,-5 479.60,-0.43,-5.00,3 782.48,-5 263.50
V11_baseline_C3,300.4,,,,,,,,,,,,,,,
V11_baseline_C3,58.6,50 000.00,-10 051.87,0.91,69 563.83 (135.17%),37 581.59 (48.47%),17720,35440,16446 (92.81%),1274 (7.19%),102 783.81,-112 835.68,-0.27,-2.49,58 258.56,-6 877.52
V12_baseline_C5,98.4,50 000.00,-10 088.57,0.90,58 761.51 (109.63%),41 113.07 (50.74%),17645,35290,16459 (93.28%),1186 (6.72%),92 707.95,-102 796.52,-0.25,-1.94,46 124.62,-6 983.60
V12_baseline_C5,48.3,50 000.00,-10 088.57,0.90,58 761.51 (109.63%),41 113.07 (50.74%),17645,35290,16459 (93.28%),1186 (6.72%),92 707.95,-102 796.52,-0.25,-1.94,46 124.62,-6 983.60
V13_baseline_C8,42.3,50 000.00,-10 506.89,0.92,79 073.26 (147.01%),36 105.14 (47.76%),17808,35616,16490 (92.60%),1318 (7.40%),127 610.99,-138 117.88,-0.29,-3.15,65 692.19,-6 444.36
V13_baseline_C8,44.1,50 000.00,-10 506.89,0.92,79 073.26 (147.01%),36 105.14 (47.76%),17808,35616,16490 (92.60%),1318 (7.40%),127 610.99,-138 117.88,-0.29,-3.15,65 692.19,-6 444.36
V14_wide_C5,1103.3,50 000.00,-10 180.00,0.71,21 621.87 (39.69%),18 496.06 (31.72%),2402,4804,2154 (89.68%),248 (10.32%),25 052.32,-35 232.32,-0.55,-2.20,9 047.06,-2 520.65
V14_wide_C5,40.0,50 000.00,-10 180.00,0.71,21 621.87 (39.69%),18 496.06 (31.72%),2402,4804,2154 (89.68%),248 (10.32%),25 052.32,-35 232.32,-0.55,-2.20,9 047.06,-2 520.65
V14_wide_C5,44.5,50 000.00,-10 180.00,0.71,21 621.87 (39.69%),18 496.06 (31.72%),2402,4804,2154 (89.68%),248 (10.32%),25 052.32,-35 232.32,-0.55,-2.20,9 047.06,-2 520.65
V15_sp2_C5,38.3,50 000.00,-10 056.83,0.90,63 946.47 (122.72%),27 020.46 (40.35%),9826,19652,8955 (91.14%),871 (8.86%),92 117.84,-102 174.67,-0.37,-1.49,51 864.69,-3 400.66
V15_sp2_C5,40.1,50 000.00,-10 056.83,0.90,63 946.47 (122.72%),27 020.46 (40.35%),9826,19652,8955 (91.14%),871 (8.86%),92 117.84,-102 174.67,-0.37,-1.49,51 864.69,-3 400.66
V15_sp2_C5,38.1,50 000.00,-10 056.83,0.90,63 946.47 (122.72%),27 020.46 (40.35%),9826,19652,8955 (91.14%),871 (8.86%),92 117.84,-102 174.67,-0.37,-1.49,51 864.69,-3 400.66
