ts_ms,bot_name,trigger,price_at_trigger,new_top,new_bottom,cost_usdt,base_delta,quote_delta
1747592160000,SOL_USDT,near_lower_edge,169.19,175.11165,163.26835,0.007748753968269037,-0.09159825011252481,15.497507936538073
1747596660000,ETH_USDT,near_lower_edge,2437.72,2519.3836199999996,2356.05638,0.038506503404805444,-0.03159222831564367,77.01300680961089
1747598400000,ETH_USDT,breakdown_below,2340.44,2418.84474,2262.03526,0.043964228781391564,-0.03756919962177331,87.92845756278312
1747598400000,SOL_USDT,near_lower_edge,165.24,171.0234,159.4566,0.0047526885659246705,-0.057524674000540676,9.505377131849341
1747598580000,BTC_USDT,near_lower_edge,103395.99,106063.60654200001,100728.373458,0.04686557146761805,-0.000906525900426468,93.7311429352361
1747600680000,ETH_USDT,near_upper_edge,2390.5,2470.58175,2310.41825,0.02233486378645567,0.018686353303874227,-44.66972757291134
1747603860000,SOL_USDT,near_upper_edge,168.86,174.7701,162.9499,0.015311438913109765,0.18135069185253777,-30.62287782621953
1747607280000,BTC_USDT,near_upper_edge,104997.99,107706.938142,102289.04185800001,0.034842964654153916,0.0006636882221108026,-69.68592930830783
1747608540000,PAXG_USDT,near_upper_edge,3252.4,3304.4384,3200.3616,0.02308271001193625,0.014194262705655054,-46.1654200238725
1747608900000,ETH_USDT,near_upper_edge,2445.22,2527.13487,2363.3051299999997,0.030247349089973053,0.024739981752131143,-60.494698179946106
1747612200000,SOL_USDT,near_upper_edge,172.69,178.73415,166.64585,0.015421181741549252,0.17859959165613817,-30.842363483098502
1747612440000,ETH_USDT,near_upper_edge,2499.5,2583.23325,2415.76675,0.0304589650811491,0.02437204647421412,-60.9179301622982
1747613040000,BTC_USDT,near_upper_edge,106627.71,109378.704918,103876.71508200001,0.035033150570164165,0.0006571115626541012,-70.06630114032833
1747614600000,ETH_USDT,near_lower_edge,2443.79,2525.656965,2361.923035,0.029611954823571606,-0.02423445126100983,59.22390964714321
1747614720000,SOL_USDT,near_lower_edge,169.0,174.915,163.085,0.004795379041070967,-0.056750047823325045,9.590758082141933
1747617000000,BTC_USDT,near_lower_edge,104930.08,107637.276064,102222.883936,0.022724068372384092,-0.0004331278194467038,45.448136744768185
1747623960000,ETH_USDT,near_lower_edge,2388.9,2468.92815,2308.87185,0.029190972794917187,-0.024438840298813,58.38194558983437
1747626180000,SOL_USDT,near_lower_edge,165.31,171.09585,159.52415,0.004740606709487402,-0.057354143239820965,9.481213418974804
1747627560000,BTC_USDT,near_lower_edge,103011.03,105668.714574,100353.345426,0.033899497844454424,-0.000658172194656328,67.79899568890885
1747635780000,SOL_USDT,near_lower_edge,161.65,167.30775,155.99225,0.004690006771782463,-0.05802668446374837,9.380013543564925
1747662300000,ETH_USDT,near_upper_edge,2442.25,2524.065375,2360.434625,0.030067595221576725,0.024622864343598505,-60.13519044315345
1747668060000,BTC_USDT,near_upper_edge,104687.41,107388.345178,101986.474822,0.03462778396558788,0.0006615462922540138,-69.25556793117576
1747673280000,ETH_USDT,near_upper_edge,2492.5,2575.99875,2409.00125,0.02261996352459733,0.01815042208593567,-45.23992704919466
1747673460000,SOL_USDT,near_upper_edge,165.24,171.0234,159.4566,0.015145520767752118,0.18331542928772834,-30.291041535504235
1747699980000,ETH_USDT,near_upper_edge,2544.5,2629.74075,2459.25925,0.022861822567430364,0.01796959918839093,-45.723645134860725
1747700220000,BTC_USDT,near_upper_edge,106345.18,109088.885644,103601.47435599999,0.023065725311739903,0.00043378976483447404,-46.13145062347981
1747700220000,SOL_USDT,near_upper_edge,168.91,174.82184999999998,162.99815,0.015270529296374935,0.18081261377508656,-30.54105859274987
1747707540000,SOL_USDT,near_upper_edge,172.77,178.81695000000002,166.72305,0.01536379015780529,0.17785252251901706,-30.72758031561058
1747709040000,PAXG_USDT,near_lower_edge,3220.0,3271.52,3168.48,0.04658597444172965,-0.028935387852005993,93.1719488834593
1747711920000,SOL_USDT,near_lower_edge,169.04,174.9564,163.12359999999998,0.004794715473640839,-0.05672876802698579,9.589430947281677
1747731360000,PAXG_USDT,near_upper_edge,3252.52,3304.56032,3200.47968,0.047111334377825595,0.028969128170050047,-94.22266875565118
1747739940000,SOL_USDT,near_lower_edge,165.43,171.22005000000001,159.63995,0.0047253196997848,-0.057127724110316136,9.4506393995696
1747744440000,ETH_USDT,near_lower_edge,2491.29,2574.748215,2407.831785,0.022078887937521118,-0.017724863775410424,44.15777587504223
1747744620000,BTC_USDT,near_lower_edge,104684.52,107385.38061600001,101983.659384,0.034201376091482334,-0.0006534180238201852,68.40275218296466
1747749840000,PAXG_USDT,near_upper_edge,3285.56,3338.12896,3232.99104,0.04727087944638862,0.028774929964078343,-94.54175889277724
1747764360000,BTC_USDT,near_upper_edge,106378.79,109123.362782,103634.21721799999,0.022988944775455173,0.0004322091795827942,-45.97788955091035
1747771020000,SOL_USDT,near_upper_edge,168.96,174.8736,163.0464,0.015195424116942186,0.17987007714183456,-30.39084823388437
1747789200000,PAXG_USDT,near_upper_edge,3323.21,3376.38136,3270.03864,0.07146344495667248,0.043008684348369484,-142.92688991334495
1747789920000,ETH_USDT,near_upper_edge,2544.0,2629.224,2458.776,0.023047863807509037,0.018119389785777543,-46.09572761501807
1747806780000,ETH_USDT,near_upper_edge,2597.07,2684.0718450000004,2510.068155,0.015296158204084913,0.011779550188547025,-30.592316408169825
1747816440000,ETH_USDT,near_lower_edge,2543.99,2629.2136649999998,2458.766335,0.03026553748154694,-0.023793755071008095,60.53107496309388
1747838940000,BTC_USDT,near_upper_edge,108047.88,110835.515304,105260.24469600001,0.023382447365870404,0.0004328164026146631,-46.76489473174081
1747839300000,SOL_USDT,near_upper_edge,172.54,178.5789,166.50109999999998,0.010221012430368659,0.11847701901435792,-20.442024860737316
1747845240000,ETH_USDT,near_upper_edge,2595.84,2682.8006400000004,2508.87936,0.015296426871981855,0.01178533875121876,-30.59285374396371
1747847940000,ETH_USDT,near_lower_edge,2542.11,2627.270685,2456.9493150000003,0.022480153241599507,-0.017686215971456393,44.96030648319901
1747848300000,ETH_USDT,near_lower_edge,2486.61,2569.911435,2403.3085650000003,0.029817297970139687,-0.023982287508004622,59.634595940279375
1747848300000,SOL_USDT,near_lower_edge,168.27,174.15945000000002,162.38055,0.004731207242236402,-0.05623352044020208,9.462414484472804
1747850040000,BTC_USDT,near_lower_edge,106240.01,108981.002258,103499.017742,0.03423659880535845,-0.0006445142240735567,68.4731976107169
1747856220000,BTC_USDT,near_upper_edge,108056.01,110843.855058,105268.16494199999,0.046953138788994105,0.0008690518702105344,-93.9062775779882
1747868040000,ETH_USDT,near_upper_edge,2541.34,2626.47489,2456.2051100000003,0.022932131591595673,0.018047275525191964,-45.86426318319135
1747868040000,SOL_USDT,near_upper_edge,172.19,178.21665,166.16335,0.015364936693780359,0.17846491310506252,-30.729873387560716
1747869720000,BTC_USDT,near_upper_edge,109776.99,112609.236342,106944.743658,0.03527410021704494,0.0006426501622433798,-70.54820043408988
1747875600000,ETH_USDT,near_upper_edge,2596.75,2683.741125,2509.758875,0.0231233492837786,0.017809453573719918,-46.246698567557196
1747885320000,SOL_USDT,near_upper_edge,175.82,181.9737,169.66629999999998,0.015483058036955516,0.17612396811461173,-30.96611607391103
1747885500000,BTC_USDT,near_upper_edge,111538.24,114415.926592,108660.553408,0.03555614417134239,0.0006375597135357773,-71.11228834268478
1747901760000,ETH_USDT,near_upper_edge,2658.29,2747.3427149999998,2569.237285,0.02339812374430333,0.017603891030928402,-46.79624748860666
1747903320000,SOL_USDT,near_upper_edge,179.53,185.81355,173.24645,0.01560404702230748,0.17383219542480344,-31.20809404461496
1747965180000,SOL_USDT,near_upper_edge,183.36,189.7776,176.94240000000002,0.015765805419217495,0.17196559139635137,-31.53161083843499
1747966620000,ETH_USDT,near_upper_edge,2713.36,2804.25756,2622.4624400000002,0.02369300482960041,0.017463959688062334,-47.386009659200816
1747982100000,ETH_USDT,near_lower_edge,2655.9,2744.8726500000002,2566.92735,0.022930995273126996,-0.017267965867033393,45.86199054625399
1747991820000,SOL_USDT,near_upper_edge,187.29,193.84515,180.73485,0.015896034568937158,0.16974781962664487,-31.792069137874318
1748000700000,SOL_USDT,near_lower_edge,183.01,189.41535,176.60465,0.004935052445495266,-0.05393205229763692,9.870104890990532
1748000820000,ETH_USDT,near_lower_edge,2597.29,2684.299215,2510.280785,0.022666054392556603,-0.017453618496630414,45.332108785113206
1748000880000,BTC_USDT,near_lower_edge,109673.38,112502.953204,106843.806796,0.03462931861024258,-0.0006314990676906753,69.25863722048516
1748001060000,SOL_USDT,near_lower_edge,178.88,185.14079999999998,172.6192,0.004880918901720457,-0.054571991298305644,9.761837803440914
1748001600000,ETH_USDT,near_lower_edge,2529.48,2614.21758,2444.74242,0.02994762396744172,-0.02367887784638876,59.895247934883436
1748001960000,PAXG_USDT,near_upper_edge,3355.5,3409.188,3301.812,0.00010847105649211368,6.465269348360225e-05,-0.21694211298422736
1748002500000,BTC_USDT,near_lower_edge,107628.0,110404.8024,104851.1976,0.04615799702902374,-0.0008577321334415531,92.31599405804748
1748002500000,SOL_USDT,near_lower_edge,174.55,180.65925000000001,168.44075,0.004803280281454957,-0.05503615332517853,9.606560562909912
1748003580000,SOL_USDT,near_upper_edge,178.33,184.57155,172.08845000000002,0.020703441590006928,0.23219247002755483,-41.40688318001386
1748007180000,BTC_USDT,near_upper_edge,109423.0,112246.1134,106599.8866,0.035060626423113424,0.0006408273657844041,-70.12125284622685
1748007300000,ETH_USDT,near_upper_edge,2580.91,2667.370485,2494.449515,0.015193721340865421,0.01177392574004163,-30.387442681730843
1748011620000,SOL_USDT,near_upper_edge,182.59,188.98065,176.19935,0.015559901315824312,0.17043541613258462,-31.119802631648625
1748026320000,SOL_USDT,near_lower_edge,178.68,184.93380000000002,172.4262,0.004838532405134791,-0.05415863448774111,9.67706481026958
1748037360000,ETH_USDT,near_lower_edge,2528.44,2613.1427400000002,2443.73726,0.022352623491613884,-0.01768096019016776,44.70524698322777
1748040780000,BTC_USDT,near_lower_edge,107667.43,110445.249694,104889.61030599999,0.03433024481615268,-0.0006377090047780037,68.66048963230537
1748042640000,SOL_USDT,near_lower_edge,174.82,180.93869999999998,168.7013,0.004807237508567875,-0.05499642499219626,9.61447501713575
1748084880000,BTC_USDT,near_upper_edge,109428.79,112252.052782,106605.52721799999,0.0350678045243613,0.0006409246510787755,-70.1356090487226
1748128080000,BTC_USDT,near_lower_edge,107689.0,110467.3762,104910.6238,0.03438893120296908,-0.0006386711958132972,68.77786240593815
1748135460000,SOL_USDT,near_lower_edge,171.08,177.0678,165.09220000000002,0.004620790150052061,-0.05401905716684663,9.241580300104122
1748163000000,ETH_USDT,near_lower_edge,2470.32,2553.0757200000003,2387.56428,0.021731862645387765,-0.017594370482680595,43.46372529077553
1748180100000,ETH_USDT,near_upper_edge,2522.94,2607.45849,2438.42151,0.03034601324639622,0.024056072079713525,-60.69202649279244
1748213700000,SOL_USDT,near_upper_edge,174.75,180.86625,168.63375,0.015421428316153877,0.1764970336612747,-30.842856632307754
1748220720000,BTC_USDT,near_upper_edge,109411.84,112234.665472,106589.014528,0.03491551727081952,0.000638240199064736,-69.83103454163904
1748237580000,ETH_USDT,near_upper_edge,2575.31,2661.582885,2489.037115,0.015178874053755669,0.01178799760320557,-30.357748107511338
1748243220000,SOL_USDT,near_upper_edge,178.5,184.7475,172.2525,0.015486531066902592,0.1735185553714576,-30.973062133805183
1748280960000,SOL_USDT,near_lower_edge,174.6,180.71099999999998,168.489,0.009927578686242288,-0.11371796891457375,19.855157372484577
1748308800000,ETH_USDT,near_lower_edge,2511.81,2595.955635,2427.664365,0.029667956387323852,-0.023622771138998452,59.3359127746477
