ts_ms,bot_name,trigger,price_at_trigger,new_top,new_bottom,cost_usdt,base_delta,quote_delta
1776063720000,PAXG_USDT,near_upper_edge,4716.5,4791.964,4641.036,0.07088776177037309,0.030059477057298035,-141.77552354074618
1776092280000,BTC_USDT,near_upper_edge,72381.62,74249.065796,70514.174204,0.059134829321568314,0.0016339736336812665,-118.26965864313662
1776108780000,ETH_USDT,near_upper_edge,2250.8,2326.2018000000003,2175.3982,0.03132462108995243,0.027834211027148063,-62.64924217990487
1776109560000,SOL_USDT,near_upper_edge,83.89,86.82615,80.95385,0.01838008156140987,0.4381948161022737,-36.76016312281974
1776118560000,BTC_USDT,breakout_above,74420.14,76340.17961199999,72500.100388,0.05974795403069223,0.0016056931371183187,-119.49590806138447
1776118560000,ETH_USDT,near_upper_edge,2319.47,2397.1722449999997,2241.767755,0.03981082235103975,0.03432751650251113,-79.6216447020795
1776120840000,SOL_USDT,near_upper_edge,86.26,89.2791,83.24090000000001,0.021251812086142935,0.4927385134742159,-42.50362417228587
1776122760000,ETH_USDT,near_upper_edge,2385.73,2465.651955,2305.808045,0.03205288787156896,0.02687050745186501,-64.10577574313791
1776150360000,PAXG_USDT,near_upper_edge,4776.97,4853.40152,4700.53848,0.04747441516934126,0.01987637149462578,-94.94883033868253
1776177000000,BTC_USDT,near_upper_edge,75957.98,77917.695884,73998.26411599999,0.03583986865277865,0.0009436761918307636,-71.6797373055573
1776188040000,BTC_USDT,near_lower_edge,74354.87,76273.22564599999,72436.514354,0.05869564278032676,-0.0015787975362024508,117.39128556065351
1776192360000,ETH_USDT,near_lower_edge,2319.34,2397.03789,2241.6421100000002,0.03872926103174987,-0.033396794805203085,77.45852206349973
1776194640000,SOL_USDT,near_lower_edge,83.8,86.733,80.86699999999999,0.009948125097234225,-0.23742541998172373,19.896250194468447
1776204240000,PAXG_USDT,near_upper_edge,4838.76,4916.18016,4761.339840000001,0.047747462317111876,0.019735412509449476,-95.49492463422375
1776281760000,ETH_USDT,near_upper_edge,2383.61,2463.460935,2303.759065,0.03200791327425104,0.02685666973561198,-64.01582654850208
1776345480000,SOL_USDT,near_upper_edge,86.17,89.18595,83.15405,0.0212137081788875,0.4923687635810027,-42.427416357775
1776347520000,ETH_USDT,near_lower_edge,2318.64,2396.31444,2240.9655599999996,0.03873908180599819,-0.03341534848531742,77.47816361199638
1776350400000,PAXG_USDT,near_lower_edge,4769.52,4845.83232,4693.20768,0.07055643765858798,-0.029586389262897715,141.11287531717593
1776365400000,SOL_USDT,near_upper_edge,88.6,91.701,85.499,0.02143406658557113,0.4838389748435922,-42.86813317114226
1776417240000,BTC_USDT,near_upper_edge,75902.82,77861.112756,73944.52724400001,0.0603588099077852,0.0015904233836841687,-120.7176198155704
1776431160000,PAXG_USDT,near_upper_edge,4831.88,4909.19008,4754.56992,0.07159787800568204,0.02963561926441966,-143.19575601136407
1776431280000,ETH_USDT,near_upper_edge,2391.59,2471.708265,2311.471735,0.031909133820799414,0.02668445161653913,-63.81826764159882
1776435780000,BTC_USDT,near_upper_edge,77672.31,79676.255598,75668.36440199999,0.048517622002480124,0.0012492900495036166,-97.03524400496025
1776436920000,ETH_USDT,near_upper_edge,2455.89,2538.162315,2373.6176849999997,0.032165669292326574,0.026194714985057616,-64.33133858465314
1776500220000,ETH_USDT,near_lower_edge,2384.97,2464.8664949999998,2305.073505,0.03890344238561762,-0.03262384213270408,77.80688477123523
1776510120000,BTC_USDT,near_lower_edge,76067.22,78029.754276,74104.685724,0.047261402485989354,-0.001242622051548337,94.5228049719787
1776537180000,SOL_USDT,near_lower_edge,86.11,89.12385,83.09615,0.009932662894130657,-0.23069708266474642,19.865325788261313
1776558900000,PAXG_USDT,near_lower_edge,4769.23,4845.537679999999,4692.92232,0.04661633650143941,-0.01954878942782773,93.23267300287883
1776582660000,ETH_USDT,near_lower_edge,2320.53,2398.2677550000003,2242.792245,0.030451848275534668,-0.02624559757946216,60.90369655106934
1776635520000,BTC_USDT,near_lower_edge,74429.13,76349.40155400001,72508.858446,0.05839868211989865,-0.0015692426371206715,116.79736423979729
1776636120000,ETH_USDT,near_lower_edge,2257.86,2333.49831,2182.2216900000003,0.03764436435901842,-0.033345171409226805,75.28872871803684
1776637080000,SOL_USDT,near_lower_edge,83.69,86.61915,80.76084999999999,0.00996306599993969,-0.23809453937004876,19.92613199987938
1776669780000,ETH_USDT,near_upper_edge,2321.75,2399.528625,2243.971375,0.038702083986663686,0.03333871776605034,-77.40416797332738
1776705540000,SOL_USDT,near_upper_edge,86.12,89.1342,83.1058,0.02122127985363503,0.49283046571377215,-42.44255970727006
1776707400000,BTC_USDT,near_upper_edge,75966.86,77926.804988,74006.915012,0.03565451428882222,0.0009386860083152632,-71.30902857764444
1776790260000,PAXG_USDT,near_lower_edge,4705.97,4781.26552,4630.674480000001,0.0461656238990238,-0.01962002473412444,92.3312477980476
1776826740000,BTC_USDT,near_upper_edge,77604.71,79606.91151800001,75602.508482,0.06064717779891495,0.0015629767265135054,-121.2943555978299
1776835020000,ETH_USDT,near_upper_edge,2386.66,2466.61311,2306.70689,0.0394130197916778,0.03302776247280953,-78.8260395833556
1776848940000,SOL_USDT,near_upper_edge,88.73,91.83555,85.62445000000001,0.021463715876345105,0.48379839685213805,-42.92743175269021
1776871800000,BTC_USDT,near_upper_edge,79249.71,81294.352518,77205.06748200001,0.04868588195325835,0.0012286702866990515,-97.37176390651669
1776903300000,SOL_USDT,near_lower_edge,86.23,89.24805,83.21195,0.010133971810698783,-0.23504515390696468,20.267943621397563
1776915480000,BTC_USDT,near_lower_edge,77597.81,79599.83349799999,75595.786502,0.04745464308207327,-0.0012230923290766395,94.90928616414654
1776935340000,ETH_USDT,near_lower_edge,2321.58,2399.35293,2243.80707,0.030090944318514216,-0.02592281490925509,60.18188863702843
1777251300000,BTC_USDT,near_upper_edge,79243.31,81287.787398,77198.832602,0.06104253982969888,0.0015406357919602015,-122.08507965939775
1777251300000,ETH_USDT,near_upper_edge,2385.94,2465.86899,2306.01101,0.031442899572505234,0.026356823367314545,-62.885799145010466
1777268220000,BTC_USDT,near_lower_edge,77599.66,79601.731228,75597.588772,0.035334806640287646,-0.0009106948829489109,70.66961328057529
1777268820000,ETH_USDT,near_lower_edge,2321.0,2398.7535,2243.2465,0.030250116820130513,-0.026066451374520044,60.50023364026102
1777303320000,SOL_USDT,near_lower_edge,83.8,86.733,80.86699999999999,0.009795928212218509,-0.2337930360911339,19.59185642443702
1777353120000,PAXG_USDT,near_lower_edge,4644.14,4718.44624,4569.83376,0.06915861409580511,-0.02978317367512827,138.3172281916102
1777376100000,PAXG_USDT,near_lower_edge,4584.01,4657.35416,4510.665840000001,0.06941330397024031,-0.030284970569540777,138.8266079404806
1777385940000,BTC_USDT,near_lower_edge,75983.61,77943.987138,74023.232862,0.04657223368823491,-0.0012258494611728742,93.14446737646982
1777456140000,BTC_USDT,near_upper_edge,77668.0,79671.8344,75664.1656,0.04785151537659839,0.0012322067100118037,-95.70303075319677
1777469940000,PAXG_USDT,near_lower_edge,4522.1,4594.453600000001,4449.7464,0.06860909380043655,-0.030343908272898228,137.21818760087308
1777477080000,BTC_USDT,near_lower_edge,76006.1,77967.05738000001,74045.14262,0.04655511958238268,-0.0012250364005621307,93.11023916476536
1777486080000,ETH_USDT,near_lower_edge,2247.84,2323.14264,2172.5373600000003,0.036890090477984104,-0.03282270132926196,73.7801809559682
1777532220000,PAXG_USDT,near_upper_edge,4581.01,4654.30616,4507.71384,0.046314079105964155,0.020220029690380135,-92.62815821192831
1777637700000,BTC_USDT,near_upper_edge,77591.83,79593.69921400001,75589.960786,0.0478293571317996,0.001232845188257568,-95.65871426359921
1777638960000,ETH_USDT,near_upper_edge,2309.32,2386.68222,2231.95778,0.030910735626817207,0.026770422138826324,-61.821471253634414
1777644720000,PAXG_USDT,near_upper_edge,4650.01,4724.41016,4575.60984,0.07008381732338534,0.030143512518633432,-140.16763464677067
1777846380000,BTC_USDT,near_upper_edge,79195.85,81239.10293000001,77152.59707,0.06050436613197532,0.0015279680976206535,-121.00873226395065
1777858140000,PAXG_USDT,near_lower_edge,4590.01,4663.45016,4516.56984,0.06899643304507941,-0.030063739750056932,137.99286609015883
1777861800000,ETH_USDT,near_upper_edge,2371.25,2450.686875,2291.813125,0.023365575865870285,0.01970739134707035,-46.73115173174057
1777890060000,PAXG_USDT,near_lower_edge,4529.88,4602.35808,4457.40192,0.04532525061247102,-0.02001167828395941,90.65050122494205
1777952100000,BTC_USDT,near_upper_edge,80844.63,82930.42145400001,78758.838546,0.04883849646603754,0.0012082063203465098,-97.67699293207507
1778009160000,SOL_USDT,near_upper_edge,86.33,89.35155,83.30845,0.016058229134346524,0.3720196718254726,-32.116458268693044
1778026800000,PAXG_USDT,near_upper_edge,4588.98,4662.403679999999,4515.55632,0.06936509192947249,0.03023115896319988,-138.73018385894497
1778047020000,PAXG_USDT,near_upper_edge,4647.97,4722.33752,4573.6024800000005,0.06959548557871,0.02994661565316041,-139.19097115742
1778057520000,SOL_USDT,near_upper_edge,88.76,91.8666,85.6534,0.021593030266912665,0.4865486765865854,-43.18606053382533
1778064840000,PAXG_USDT,near_upper_edge,4711.76,4787.148160000001,4636.37184,0.06985004389337356,0.029649236757973048,-139.7000877867471
1778066220000,BTC_USDT,near_upper_edge,82591.84,84722.709472,80460.97052799999,0.061602216942507344,0.0014917264694068407,-123.20443388501468
1778124180000,BTC_USDT,near_lower_edge,80866.67,82953.030086,78780.309914,0.03561994096687496,-0.0008809548103532632,71.23988193374991
1778164200000,ETH_USDT,near_lower_edge,2307.14,2384.42919,2229.85081,0.02979030577226945,-0.025824445653293213,59.5806115445389
1778261460000,SOL_USDT,near_upper_edge,91.51,94.71285,88.30715000000001,0.0219476061503151,0.479676672501696,-43.8952123006302
1778403600000,SOL_USDT,near_upper_edge,94.36,97.6626,91.0574,0.02212183509949115,0.4688816256780659,-44.2436701989823
1778443740000,ETH_USDT,near_upper_edge,2369.86,2449.2503100000004,2290.46969,0.023464960492390174,0.019802824211042146,-46.929920984780345
1778478720000,PAXG_USDT,near_lower_edge,4650.53,4724.93848,4576.12152,0.06835155017734823,-0.029395165788565276,136.70310035469646
1778504760000,PAXG_USDT,near_upper_edge,4710.42,4785.78672,4635.05328,0.06983491207089064,0.02965124641577211,-139.66982414178128
1778515620000,SOL_USDT,near_upper_edge,97.15,100.55025,93.74975,0.02249124215424849,0.4630209398713019,-44.98248430849698
1778549940000,ETH_USDT,near_lower_edge,2304.23,2381.421705,2227.038295,0.03801757672639211,-0.03299807460747591,76.03515345278421
1778599260000,SOL_USDT,near_lower_edge,94.42,97.7247,91.1153,0.010548314452434543,-0.2234339007082089,21.096628904869085
1778599320000,PAXG_USDT,near_lower_edge,4646.77,4721.1183200000005,4572.42168,0.04548278762315566,-0.01957608731362028,90.96557524631132
1778614440000,PAXG_USDT,near_upper_edge,4707.48,4782.799679999999,4632.16032,0.06959927013018535,0.02956965090884522,-139.1985402603707
