time,open,high,low,close,tick_volume,spread,real_volume
2026-04-15 18:39:00,4801.88,4802.05,4800.27,4800.95,554,260,0
2026-04-15 18:40:00,4800.93,4805.55,4800.93,4805.01,633,260,0
2026-04-15 18:41:00,4805.02,4806.4,4803.87,4805.36,565,260,0
2026-04-15 18:42:00,4805.34,4806.41,4804.5,4806.26,446,260,0
2026-04-15 18:43:00,4806.19,4806.21,4803.88,4803.88,532,260,0
2026-04-15 18:44:00,4803.96,4804.74,4803.07,4803.54,451,260,0
2026-04-15 18:45:00,4803.51,4805.02,4802.31,4804.84,500,260,0
2026-04-15 18:46:00,4804.86,4807.59,4804.44,4807.09,521,260,0
2026-04-15 18:47:00,4807.09,4807.23,4804.47,4805.16,476,260,0
2026-04-15 18:48:00,4805.17,4806.36,4804.57,4805.47,469,260,0
2026-04-15 18:49:00,4805.47,4805.48,4802.44,4802.53,494,260,0
2026-04-15 18:50:00,4802.54,4804.63,4802.54,4804.13,513,260,0
2026-04-15 18:51:00,4804.1,4804.38,4802.97,4804.1,465,260,0
2026-04-15 18:52:00,4804.1,4805.29,4803.72,4804.84,361,260,0
2026-04-15 18:53:00,4804.85,4806.55,4804.62,4806.05,420,260,0
2026-04-15 18:54:00,4806.01,4806.35,4804.98,4805.25,423,260,0
2026-04-15 18:55:00,4805.24,4805.67,4803.09,4803.09,433,260,0
2026-04-15 18:56:00,4803.15,4803.23,4799.42,4799.96,594,260,0
2026-04-15 18:57:00,4799.91,4802.27,4799.69,4801.35,564,260,0
2026-04-15 18:58:00,4801.36,4802.61,4801.09,4802.29,457,260,0
2026-04-15 18:59:00,4802.31,4803.46,4801.21,4801.65,451,260,0
2026-04-15 19:00:00,4801.63,4803.31,4800.4,4802.57,572,260,0
2026-04-15 19:01:00,4802.53,4803.32,4801.12,4801.98,490,260,0
2026-04-15 19:02:00,4802.02,4805.24,4802.02,4804.54,411,260,0
2026-04-15 19:03:00,4804.59,4807.53,4804.49,4806.39,481,260,0
2026-04-15 19:04:00,4806.39,4806.9,4804.37,4804.37,469,260,0
2026-04-15 19:05:00,4804.36,4806.98,4803.49,4806.74,554,260,0
2026-04-15 19:06:00,4806.79,4808.05,4806.59,4806.79,501,260,0
2026-04-15 19:07:00,4806.81,4806.81,4805.47,4805.65,443,260,0
2026-04-15 19:08:00,4805.67,4807.61,4805.23,4805.3,471,260,0
2026-04-15 19:09:00,4805.31,4807.34,4804.87,4807.25,362,260,0
2026-04-15 19:10:00,4807.23,4807.33,4806.03,4806.56,358,260,0
2026-04-15 19:11:00,4806.56,4807.45,4806.4,4807.42,424,260,0
2026-04-15 19:12:00,4807.42,4807.43,4806.83,4807.17,326,260,0
2026-04-15 19:13:00,4807.17,4810.5,4807.16,4810.12,385,260,0
2026-04-15 19:14:00,4810.11,4810.11,4808.29,4808.35,397,260,0
2026-04-15 19:15:00,4808.34,4810.5,4806.1,4806.1,506,260,0
2026-04-15 19:16:00,4806.08,4806.66,4805.21,4806.52,419,260,0
2026-04-15 19:17:00,4806.54,4807.2,4806.35,4806.63,359,260,0
2026-04-15 19:18:00,4806.62,4808.46,4806.55,4807.27,443,260,0
2026-04-15 19:19:00,4807.27,4807.39,4806.59,4806.74,361,260,0
2026-04-15 19:20:00,4806.72,4808.22,4806.72,4808.1,358,260,0
2026-04-15 19:21:00,4808.1,4810.1,4808.09,4809.2,495,260,0
2026-04-15 19:22:00,4809.17,4810.22,4808.37,4809.73,476,260,0
2026-04-15 19:23:00,4809.76,4809.76,4808.68,4809.44,422,260,0
2026-04-15 19:24:00,4809.43,4810.46,4807.98,4807.98,461,260,0
2026-04-15 19:25:00,4808.02,4808.74,4807.16,4807.99,436,260,0
2026-04-15 19:26:00,4808.0,4809.32,4808.0,4808.97,337,260,0
2026-04-15 19:27:00,4808.98,4810.99,4808.53,4810.99,382,260,0
2026-04-15 19:28:00,4811.09,4812.59,4811.09,4811.76,434,260,0
2026-04-15 19:29:00,4811.76,4812.53,4810.65,4811.21,468,260,0
2026-04-15 19:30:00,4811.19,4811.81,4810.59,4811.09,428,260,0
2026-04-15 19:31:00,4810.37,4810.48,4808.99,4809.32,460,260,0
2026-04-15 19:32:00,4809.33,4809.34,4807.54,4807.78,458,260,0
2026-04-15 19:33:00,4807.84,4810.16,4807.84,4809.67,445,260,0
2026-04-15 19:34:00,4809.67,4810.11,4808.7,4809.41,415,260,0
2026-04-15 19:35:00,4809.43,4809.74,4809.0,4809.17,298,260,0
2026-04-15 19:36:00,4809.18,4810.54,4809.09,4810.2,385,260,0
2026-04-15 19:37:00,4810.2,4811.88,4809.98,4811.03,378,260,0
2026-04-15 19:38:00,4811.02,4811.04,4809.98,4810.74,286,260,0
2026-04-15 19:39:00,4810.76,4810.76,4806.72,4807.02,437,260,0
2026-04-15 19:40:00,4807.0,4809.42,4806.07,4809.06,591,260,0
2026-04-15 19:41:00,4809.05,4809.12,4807.38,4807.66,511,260,0
2026-04-15 19:42:00,4807.7,4807.93,4802.83,4804.03,647,260,0
2026-04-15 19:43:00,4804.04,4804.94,4803.44,4803.47,477,260,0
2026-04-15 19:44:00,4803.49,4805.43,4803.49,4804.53,503,260,0
2026-04-15 19:45:00,4804.48,4805.3,4803.08,4804.99,572,260,0
2026-04-15 19:46:00,4804.98,4807.12,4804.87,4805.62,443,260,0
2026-04-15 19:47:00,4805.61,4805.63,4803.65,4804.69,527,260,0
2026-04-15 19:48:00,4804.71,4804.75,4803.32,4803.67,491,260,0
2026-04-15 19:49:00,4803.67,4806.06,4803.6,4805.61,459,260,0
2026-04-15 19:50:00,4805.61,4807.26,4804.99,4806.11,492,260,0
2026-04-15 19:51:00,4806.1,4806.16,4802.99,4803.42,473,260,0
2026-04-15 19:52:00,4803.42,4803.47,4801.39,4802.7,533,260,0
2026-04-15 19:53:00,4802.65,4802.7,4800.12,4801.42,506,260,0
2026-04-15 19:54:00,4801.44,4802.28,4800.34,4801.92,544,260,0
2026-04-15 19:55:00,4801.97,4803.28,4801.72,4802.58,482,260,0
2026-04-15 19:56:00,4802.61,4803.36,4801.47,4802.92,493,260,0
2026-04-15 19:57:00,4802.97,4805.16,4802.25,4805.09,512,260,0
2026-04-15 19:58:00,4805.08,4805.76,4803.89,4804.23,447,260,0
2026-04-15 19:59:00,4804.25,4804.68,4803.89,4803.89,478,260,0
2026-04-15 20:00:00,4803.87,4804.38,4802.55,4804.2,505,260,0
2026-04-15 20:01:00,4804.22,4804.96,4803.08,4803.59,473,260,0
2026-04-15 20:02:00,4803.6,4804.65,4803.08,4803.29,470,260,0
2026-04-15 20:03:00,4803.29,4803.77,4801.79,4802.36,429,260,0
2026-04-15 20:04:00,4802.36,4802.38,4800.66,4800.72,447,260,0
2026-04-15 20:05:00,4800.78,4801.11,4799.82,4800.4,429,260,0
2026-04-15 20:06:00,4800.4,4801.51,4800.27,4800.85,336,260,0
2026-04-15 20:07:00,4800.89,4801.63,4799.71,4801.62,390,260,0
2026-04-15 20:08:00,4801.6,4802.15,4800.38,4800.9,406,260,0
2026-04-15 20:09:00,4800.91,4802.9,4800.43,4802.65,361,260,0
2026-04-15 20:10:00,4802.6,4803.15,4800.99,4801.03,438,260,0
2026-04-15 20:11:00,4801.04,4801.05,4798.69,4799.11,406,260,0
